"No.","Time","Source","Destination","Protocol","Length","Info","RSSI"
"24","0.034580","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3031, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"25","0.034722","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3031, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"26","0.034938","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3031, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"55","0.081096","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3047, FN=0, Flags=........C, BI=100, SSID=eduroam","-84 dBm"
"56","0.081469","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3047, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-84 dBm"
"57","0.081529","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3047, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-85 dBm"
"75","0.137197","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3032, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"76","0.137294","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3032, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"77","0.137490","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3032, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"125","0.183777","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3048, FN=0, Flags=........C, BI=100, SSID=eduroam","-83 dBm"
"126","0.183881","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3048, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-84 dBm"
"127","0.184206","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3048, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-84 dBm"
"145","0.239552","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3033, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"146","0.239721","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3033, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"147","0.239883","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3033, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"158","0.286169","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3049, FN=0, Flags=........C, BI=100, SSID=eduroam","-84 dBm"
"159","0.286237","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3049, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-83 dBm"
"160","0.286342","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3049, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-84 dBm"
"176","0.341864","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3034, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"177","0.341962","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3034, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"178","0.342125","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3034, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"196","0.388587","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3050, FN=0, Flags=........C, BI=100, SSID=eduroam","-84 dBm"
"197","0.388756","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3050, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-84 dBm"
"198","0.388861","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3050, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-84 dBm"
"220","0.444374","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3035, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"221","0.444466","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3035, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"222","0.444628","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3035, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"238","0.490968","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3051, FN=0, Flags=........C, BI=100, SSID=eduroam","-83 dBm"
"239","0.491081","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3051, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-84 dBm"
"240","0.491139","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3051, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-83 dBm"
"251","0.546571","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3036, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"252","0.546631","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3036, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"253","0.546776","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3036, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"265","0.593347","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3052, FN=0, Flags=........C, BI=100, SSID=eduroam","-84 dBm"
"266","0.593427","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3052, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-83 dBm"
"267","0.593545","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3052, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-84 dBm"
"281","0.649101","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3037, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"282","0.649169","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3037, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"283","0.649368","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3037, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"304","0.695726","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3053, FN=0, Flags=........C, BI=100, SSID=eduroam","-84 dBm"
"305","0.695833","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3053, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-84 dBm"
"306","0.695937","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3053, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-84 dBm"
"323","0.751472","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3038, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"324","0.751636","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3038, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"325","0.751834","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3038, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"338","0.798146","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3054, FN=0, Flags=........C, BI=100, SSID=eduroam","-84 dBm"
"339","0.798316","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3054, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-84 dBm"
"340","0.798420","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3054, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-84 dBm"
"356","0.853880","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3039, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"357","0.853949","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3039, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"358","0.854147","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3039, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"388","0.900581","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3055, FN=0, Flags=........C, BI=100, SSID=eduroam","-84 dBm"
"389","0.900674","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3055, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-84 dBm"
"390","0.900778","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3055, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-85 dBm"
"419","0.956275","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3040, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"420","0.956380","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3040, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"421","0.956542","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3040, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"435","1.003024","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3056, FN=0, Flags=........C, BI=100, SSID=eduroam","-84 dBm"
"436","1.003124","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3056, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-85 dBm"
"437","1.003228","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3056, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-84 dBm"
"459","1.058521","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3041, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"460","1.058581","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3041, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"461","1.058723","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3041, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"471","1.105181","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3057, FN=0, Flags=........C, BI=100, SSID=eduroam","-84 dBm"
"472","1.105281","ArubaNet_11:fc:f1","Broadcast","802.11","238","Beacon frame, SN=3057, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-84 dBm"
"473","1.105377","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3057, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-84 dBm"
"519","1.161054","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3042, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"520","1.161159","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3042, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"521","1.161320","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3042, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"532","1.207799","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3058, FN=0, Flags=........C, BI=100, SSID=eduroam","-83 dBm"
"533","1.207898","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3058, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-84 dBm"
"534","1.208002","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3058, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-84 dBm"
"561","1.263428","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3043, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"562","1.263496","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3043, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"563","1.263692","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3043, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"585","1.310123","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3059, FN=0, Flags=........C, BI=100, SSID=eduroam","-85 dBm"
"586","1.310222","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3059, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-85 dBm"
"587","1.310397","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3059, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-85 dBm"
"608","1.365834","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3044, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"609","1.365939","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3044, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"610","1.366100","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3044, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"633","1.412340","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3060, FN=0, Flags=........C, BI=100, SSID=eduroam","-83 dBm"
"634","1.412401","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3060, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-83 dBm"
"635","1.412916","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3060, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-85 dBm"
"652","1.468046","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3045, FN=0, Flags=........C, BI=100, SSID=eduroam","-71 dBm"
"653","1.468150","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3045, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-71 dBm"
"654","1.468342","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3045, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-71 dBm"
"664","1.514768","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3061, FN=0, Flags=........C, BI=100, SSID=eduroam","-85 dBm"
"665","1.514874","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3061, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-86 dBm"
"666","1.514976","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3061, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-85 dBm"
"703","1.570810","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3046, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"704","1.570990","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3046, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"731","1.617181","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3062, FN=0, Flags=........C, BI=100, SSID=eduroam","-85 dBm"
"732","1.617286","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3062, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-85 dBm"
"733","1.617388","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3062, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-85 dBm"
"742","1.672874","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3047, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"743","1.672974","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3047, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"744","1.673120","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3047, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"773","1.719534","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3063, FN=0, Flags=........C, BI=100, SSID=eduroam","-85 dBm"
"774","1.719596","ArubaNet_11:fc:f1","Broadcast","802.11","238","Beacon frame, SN=3063, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-85 dBm"
"775","1.719699","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3063, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-85 dBm"
"804","1.737728","d4:80:8d:c9:b8:9c","69:d1:7c:7f:fe:ce","802.11","200","Fragmented IEEE 802.11 frame","-84 dBm"
"825","1.775392","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3048, FN=0, Flags=........C, BI=100, SSID=eduroam","-71 dBm"
"826","1.775459","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3048, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-71 dBm"
"827","1.775656","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3048, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-71 dBm"
"890","1.821870","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3064, FN=0, Flags=........C, BI=100, SSID=eduroam","-86 dBm"
"891","1.821974","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3064, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-86 dBm"
"892","1.822067","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3064, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-86 dBm"
"946","1.877827","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3049, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"947","1.877932","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3049, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"948","1.878092","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3049, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"961","1.924421","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3065, FN=0, Flags=........C, BI=100, SSID=eduroam","-84 dBm"
"962","1.924489","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3065, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-85 dBm"
"963","1.924593","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3065, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-85 dBm"
"985","1.980181","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3050, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"986","1.980350","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3050, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"987","1.980551","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3050, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"1013","2.026677","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3066, FN=0, Flags=........C, BI=100, SSID=eduroam","-85 dBm"
"1014","2.026737","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3066, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-84 dBm"
"1015","2.027066","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3066, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-85 dBm"
"1028","2.082623","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3051, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"1029","2.082690","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3051, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-69 dBm"
"1030","2.082887","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3051, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"1044","2.129108","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3067, FN=0, Flags=........C, BI=100, SSID=eduroam","-84 dBm"
"1045","2.129207","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3067, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-84 dBm"
"1046","2.129312","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3067, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-85 dBm"
"1058","2.185001","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3052, FN=0, Flags=........C, BI=100, SSID=eduroam","-71 dBm"
"1059","2.185105","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3052, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-71 dBm"
"1060","2.185263","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3052, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-71 dBm"
"1076","2.231591","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3068, FN=0, Flags=........., BI=100, SSID=eduroam","-85 dBm"
"1077","2.231652","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3068, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-85 dBm"
"1078","2.231763","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3068, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-86 dBm"
"1093","2.287395","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3053, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"1094","2.287488","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3053, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"1095","2.287649","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3053, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"1099","2.334039","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3069, FN=0, Flags=........C, BI=100, SSID=eduroam","-84 dBm"
"1100","2.334106","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3069, FN=0, Flags=........., BI=100, SSID=tamulink-wpa","-85 dBm"
"1101","2.334209","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3069, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-85 dBm"
"1127","2.389890","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3054, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"1128","2.389990","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3054, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"1129","2.390108","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3054, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"1147","2.437684","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3070, FN=0, Flags=........C, BI=100, SSID=eduroam","-84 dBm"
"1148","2.437751","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3070, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-85 dBm"
"1165","2.492099","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3055, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"1166","2.492226","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3055, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"1167","2.492423","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3055, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"1179","2.538635","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3071, FN=0, Flags=........C, BI=100, SSID=eduroam","-85 dBm"
"1180","2.538736","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3071, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-85 dBm"
"1181","2.538833","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3071, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-85 dBm"
"1202","2.594522","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3056, FN=0, Flags=........C, BI=100, SSID=eduroam","-70 dBm"
"1203","2.594588","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3056, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-70 dBm"
"1204","2.594784","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3056, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-70 dBm"
"1228","2.641179","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3072, FN=0, Flags=........C, BI=100, SSID=eduroam","-85 dBm"
"1229","2.641283","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3072, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-86 dBm"
"1230","2.641388","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3072, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-86 dBm"
"1250","2.696938","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3057, FN=0, Flags=........C, BI=100, SSID=eduroam","-71 dBm"
"1251","2.697107","ArubaNet_11:ef:71","Broadcast","802.11","237","Beacon frame, SN=3057, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-71 dBm"
"1252","2.697307","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3057, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-71 dBm"
"1269","2.743626","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3073, FN=0, Flags=........C, BI=100, SSID=eduroam","-86 dBm"
"1270","2.743726","ArubaNet_11:fc:f1","Broadcast","802.11","237","Beacon frame, SN=3073, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-86 dBm"
"1271","2.743830","ArubaNet_11:fc:f2","Broadcast","802.11","239","Beacon frame, SN=3073, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-86 dBm"
"1319","2.799342","ArubaNet_11:ef:70","Broadcast","802.11","232","Beacon frame, SN=3058, FN=0, Flags=........C, BI=100, SSID=eduroam","-69 dBm"
"1320","2.799438","ArubaNet_11:ef:71","Broadcast","802.11","238","Beacon frame, SN=3058, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-69 dBm"
"1321","2.799600","ArubaNet_11:ef:72","Broadcast","802.11","239","Beacon frame, SN=3058, FN=0, Flags=........C, BI=100, SSID=tamulink-guest","-69 dBm"
"1362","2.845806","ArubaNet_11:fc:f0","Broadcast","802.11","232","Beacon frame, SN=3074, FN=0, Flags=........C, BI=100, SSID=eduroam","-86 dBm"
"1363","2.845907","ArubaNet_11:fc:f1","Broadcast","802.11","238","Beacon frame, SN=3074, FN=0, Flags=........C, BI=100, SSID=tamulink-wpa","-86 dBm"
